Occurrence_Category,Occurrence_Group,Occurrence_Type_Group,Intersection,OBJECTID,Date Reported,x,y
Violent,Personal Violence,Assault,HORSEHILLS RD/MERIDIAN ST,11631,2025/01/02,-12617347.8084,7107974.8372
Non-Violent,Property,Theft Over $5000,102 AV/136 ST,11632,2025/01/01,-12641031.8369,7084083.6472
Violent,Personal Violence,Assault,KINGSWAY /KINGSWAY ,11633,2025/01/02,-12634696.9979,7086642.5976
Non-Violent,Property,Theft Under $5000,82 ST/FORT RD,11634,2025/01/02,-12631125.4653,7089020.0073
Disorder,Disputes/Disturbances,Dispute,52 ST/55 ST,11635,2025/01/03,-12626148.8978,7068074.5809
Non-Violent,Property,Break and Enter Residential,102 AV/107 ST,11636,2025/01/03,-12635290.924,7084079.3004
Non-Violent,Property,Break and Enter Commercial,107 AV/99 ST,11644,2025/01/01,-12633795.4284,7085581.5558
Non-Violent,Property,Break and Enter Residential,53 AV/53 AV,11650,2025/01/01,-12653739.0129,7073926.3558
Non-Violent,Abandoned/Recovered/Seized Vehicles,Abandoned Vehicle,114A ST/161 AV,11651,2025/01/01,-12637218.2039,7098965.2135
Disorder,Provincial Statute Violations,Intoxicated Person,111 ST/111 ST,11655,2025/01/01,-12636109.4864,7084636.9982
Violent,Personal Violence,Assault,100 ST/106 AV,11656,2025/01/01,-12633861.7194,7085368.8038
Disorder,General Disorder,Trouble with Person,MAPLE RIDGE DR/RIM RD,11662,2025/01/01,-12619370.5368,7076326.64549999
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,JASPER AV/109 ST,11665,2025/01/01,-12635701.7917,7083690.5436
Disorder,General Disorder,Trespassing,45 AV/GATEWAY BV,11667,2025/01/01,-12633876.597,7072866.2125
Violent,Personal Violence,Assault,16A AV SW/SPENCE WN SW,11669,2025/01/01,-12630301.1094,7060794.0899
Disorder,Provincial Statute Violations,Intoxicated Person,100 ST/105A AV,11672,2025/01/01,-12633845.0477,7085163.5066
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,132 AV/133 AV,11673,2025/01/01,-12625131.9781,7093614.4012
Disorder,Provincial Statute Violations,Intoxicated Person,114 AV/85 ST,11674,2025/01/01,-12631623.5065,7088061.8432
Disorder,Mischief/Graffiti,Mischief - Property,COLONEL MEWBURN RD/MCCRAE AV,11675,2025/01/02,-12636362.9557,7096998.7378
Disorder,Provincial Statute Violations,Intoxicated Person,SOUTHGATE TC/SOUTHGATE TC,11676,2025/01/01,-12636580.8627,7073133.1787
Disorder,Mischief/Graffiti,Mischief - Property,117B AV/127 ST,11678,2025/01/01,-12639346.1927,7089095.3061
Non-Violent,Property,Break and Enter Residential,116A AV/29 ST,11679,2025/01/02,-12622246.6139,7088872.7448
Disorder,General Disorder,Trouble with Person,126B AV/126B AV,11681,2025/01/01,-12624308.958,7091852.7386
Disorder,Mischief/Graffiti,Mischief - Property,114 ST/87 AV,11682,2025/01/02,-12637607.1698,7080313.2322
Weapons,Weapons Violations,Weapons Complaint,123A ST/161 AV,11683,2025/01/02,-12638664.7223,7098904.5292
Non-Violent,Property,Theft Under $5000,CASTLE DOWNS TC/CASTLE DOWNS TC,11684,2025/01/02,-12636602.9539,7097800.49
Non-Violent,Property,Break and Enter Residential,80 AV/80 AV,11685,2025/01/01,-12656460.6045,7078515.5231
Non-Violent,Property,Theft Under $5000,82 AV/83 ST,11686,2025/01/01,-12629840.8118,7079411.5633
Disorder,Mischief/Graffiti,Mischief - Property,115 AV/68 ST,11687,2025/01/01,-12628645.2411,7088785.9014
Non-Violent,Property,Break and Enter Commercial,105 ST/99 AV,11688,2025/01/01,-12634882.6416,7082999.6645
Non-Violent,Property,Theft Under $5000,137 AV/50 ST,11689,2025/01/02,-12625108.1321,7094280.4437
Disorder,General Disorder,Trespassing,85 ST/93 AV,11690,2025/01/01,-12630051.4911,7081500.0517
Disorder,Mischief/Graffiti,Mischief - Property,102 AV/103 ST,11691,2025/01/02,-12634473.8485,7084079.0589
Non-Violent,Property,Possession Stolen Property,107 AV/107 AV,11692,2025/01/02,-12647348.0994,7085989.7043
Non-Violent,Property,Internet Fraud,120 AV/82 ST,11728,2025/01/04,-12631122.7099,7089801.5338
Non-Violent,Property,Theft Under $5000,70 AV/93 ST,11729,2025/01/04,-12631466.9784,7077257.8475
Non-Violent,Property,Theft of Motor Vehicle,25 AV/106A ST,11731,2025/01/04,-12635133.1779,7067849.3581
Non-Violent,Property,Theft of Motor Vehicle,109 AV/111 ST,11732,2025/01/04,-12636111.2451,7086247.4789
Non-Violent,Property,Break and Enter Commercial,231 ST/231 ST,11733,2025/01/01,-12658525.0528,7079381.0274
Non-Violent,Property,Fraud General,105 ST/79 AV,11735,2025/01/04,-12634813.53,7078865.5929
Non-Violent,Property,Theft Under $5000,111 AV/KINGSWAY ,11736,2025/01/04,-12637398.478,7088630.7819
Violent,Personal Violence,Assault,CALGARY TR/CALGARY TR,11737,2025/01/04,-12634087.1592,7074336.6613
Violent,Personal Violence,Assault,100 ST/106 AV,11738,2025/01/04,-12633861.7194,7085368.8038
Non-Violent,Property,Theft Under $5000,ST ALBERT TR/SHERBROOKE AV,11739,2025/01/04,-12640745.6132,7090485.8585
Disorder,General Disorder,Trespassing,114 ST/JASPER AV,11740,2025/01/04,-12636727.4348,7083692.3369
Non-Violent,Property,Theft Under $5000,5 AV SW/5 AV SW,11742,2025/01/04,-12627793.2619,7062607.2324
Disorder,General Disorder,Suspicious Person,37 ST/43 AV,11743,2025/01/04,-12623403.7226,7072363.0739
Non-Violent,Property,Theft Under $5000,103 ST/103 AV,11744,2025/01/04,-12634471.7615,7084375.3343
Disorder,General Disorder,Trouble with Person,SCOTT CR/SCOTT LN,11745,2025/01/04,-12644147.0704,7064021.8185
Non-Violent,Property,Theft Under $5000,75 ST/WAGNER RD,11747,2025/01/02,-12628383.1374,7076305.7966
Disorder,General Disorder,Trespassing,124 AV/77 ST,11748,2025/01/05,-12630307.7229,7090982.2473
Non-Violent,Property,Theft of Motor Vehicle,73 AV/75 ST,11749,2025/01/05,-12628398.3147,7077795.4755
Non-Violent,Property,Theft Over $5000,19 AV/19 AV,11750,2025/01/04,-12633595.182,7066077.8815
Violent,Personal Violence,Assault,140 AV/140 AV,11751,2025/01/05,-12625620.9334,7095477.1315
Non-Violent,Property,Theft Under $5000,180 AV/85 ST,11802,2025/01/03,-12631578.6553,7102654.1956
Non-Violent,Property,Theft Over $5000,ELLERSLIE RD SW/50 ST SW,11803,2025/01/06,-12625606.973,7061942.374
Non-Violent,Property,Theft Under $5000,84 ST/ROPER RD,11845,2025/01/07,-12628893.4541,7074273.1561
Violent,Personal Violence,Assault,62 ST/GRAND MEADOW CR,11846,2025/01/07,-12627325.3113,7071717.8358
Non-Violent,Property,Break and Enter Residential,171 ST/71 AV,11847,2025/01/08,-12647808.7428,7077050.07989999
Non-Violent,Property,Break and Enter Commercial,125A AV/55 ST,11848,2025/01/07,-12626533.129,7091540.97
Weapons,Weapons Violations,Weapons Complaint,124A AV/77 ST,11849,2025/01/07,-12630258.3514,7089339.966
Non-Violent,Property,Theft of Motor Vehicle,81 ST/86 AV,11850,2025/01/07,-12629429.5852,7080109.8401
Non-Violent,Property,Theft Under $5000,CAPILANO TC/CAPILANO TC,11851,2025/01/07,-12626105.9166,7083239.3573
Violent,Personal Violence,Robbery Personal,129 AV/129 AV,11852,2025/01/07,-12627680.7343,7092441.6713
Non-Violent,Property,Theft Under $5000,AIRPORT RD/KINGSWAY ,11853,2025/01/08,-12636950.3814,7088310.2447
Violent,Personal Violence,Assault,100 ST/106 AV,11854,2025/01/07,-12633861.7194,7085368.8038
Non-Violent,Property,Theft Under $5000,CAMERON RAVINE CT/CAMERON RAVINE WY,11855,2025/01/08,-12649074.346,7070447.7437
Non-Violent,Property,Theft of Motor Vehicle,102 ST/84 AV,11856,2025/01/06,-12634103.8962,7079765.2535
Disorder,Provincial Statute Violations,Intoxicated Person,114 AV/89 ST,11857,2025/01/07,-12632330.7166,7088066.1933
Disorder,Provincial Statute Violations,Intoxicated Person,106 ST/108 AV,11858,2025/01/06,-12635086.9539,7085950.0532
Non-Violent,Property,Break and Enter Residential,WONNACOTT CT SW/WONNACOTT CT SW,11859,2025/01/08,-12627617.3566,7059976.6044
Disorder,Mischief/Graffiti,Mischief - Property,109 AV/38 ST,11860,2025/01/08,-12623627.4447,7087700.384
Violent,Personal Violence,Robbery Personal,87 AV/87 AV,11861,2025/01/07,-12645388.9344,7079661.38799999
Non-Violent,Property,Theft Under $5000,137 AV/132 ST,11862,2025/01/07,-12640202.8711,7094620.121
Non-Violent,Property,Theft Under $5000,23 AV/PARSONS RD,11927,2025/01/09,-12632521.2514,7067283.6591
Non-Violent,Property,Theft Under $5000,137 AV/42 ST,11928,2025/01/09,-12624378.4956,7094314.4636
Non-Violent,Property,Theft of Motor Vehicle,53 ST/119 AV,11929,2025/01/02,-12626197.6185,7089493.3168
Violent,Personal Violence,Assault,50A ST/56 ST,11931,2025/01/02,-12625669.8204,7093324.1159
Disorder,General Disorder,Suspicious Vehicle,109 ST/168A AV,11932,2025/01/03,-12636053.0552,7100376.67
Non-Violent,Property,Possession Stolen Property,107 AV/108 ST,11933,2025/01/02,-12635496.6016,7085651.6523
Non-Violent,Property,Theft Under $5000,153 ST/STONY PLAIN RD,11934,2025/01/03,-12644228.7161,7083755.8177
Non-Violent,Property,Possession Stolen Property,100 ST/106 AV,11935,2025/01/03,-12633861.7194,7085368.8038
Non-Violent,Property,Theft Under $5000,AIRPORT RD/KINGSWAY ,11937,2025/01/03,-12636950.3814,7088310.2447
Non-Violent,Property,Theft of Motor Vehicle,142A AV/57 ST,11938,2025/01/03,-12626896.7866,7095711.4246
Non-Violent,Property,Theft Under $5000,118 AV/101 ST,11939,2025/01/02,-12634117.6609,7089084.2355
Non-Violent,Property,Break and Enter Commercial,99 ST/99 ST,11940,2025/01/03,-12633239.9499,7076109.5069
Disorder,General Disorder,Trespassing,137 AV/137 AV,11941,2025/01/03,-12641829.6613,7094578.7691
Disorder,Mischief/Graffiti,Mischief - Property,100A ST/102 ST,11943,2025/01/01,-12633907.6344,7084434.3366
Disorder,Mischief/Graffiti,Graffiti,100A ST/101A AV,11944,2025/01/03,-12633901.6117,7083917.9097
Non-Violent,Property,Fraud - Financial,CALGARY TR/CALGARY TR,11946,2025/01/02,-12634277.9192,7071279.2261
Non-Violent,Property,Theft Under $5000,FORTWAY DR/RIVER VALLEY RD,11947,2025/01/03,-12636233.7828,7082010.6249
Non-Violent,Property,Theft Under $5000,140 AV/140 AV,11948,2025/01/03,-12625620.9334,7095477.1315
Disorder,General Disorder,Trouble with Person,149 ST/98 AV,11949,2025/01/01,-12643444.6109,7082796.1043
Non-Violent,Property,Theft Under $5000,142A AV/57 ST,11950,2025/01/03,-12626896.7866,7095711.4246
Violent,Personal Violence,Assault,110 ST/175 AV,11951,2025/01/01,-12636238.2572,7101896.338
Non-Violent,Property,Theft Under $5000,52 ST/72A AV,11952,2025/01/03,-12625875.7719,7077631.8615
Non-Violent,Property,Theft Under $5000,YELLOWHEAD TR/YELLOWHEAD TR,11953,2025/01/03,-12622568.9402,7090452.1899
Non-Violent,Property,Theft Under $5000,123 ST/103 AV,11954,2025/01/03,-12638559.6633,7084377.949
Non-Violent,Property,Theft Under $5000,101 ST/83 AV,11955,2025/01/03,-12633791.9799,7079593.6357
Non-Violent,Property,Theft of Motor Vehicle,39 AV/93 ST,11956,2025/01/03,-12631796.5468,7071181.8533
Non-Violent,Property,Fraud - Financial,113 ST/172 AV,11957,2025/01/03,-12636765.9184,7101185.2472
Non-Violent,Property,Theft Under $5000,118 AV/34 ST,11958,2025/01/03,-12622930.4197,7089206.9916
Disorder,Disputes/Disturbances,Dispute,GRANTHAM CT/GRANTHAM CT,11959,2025/01/03,-12653903.3879,7077870.1956
Non-Violent,Property,Break and Enter Residential,KESWICK BV SW/KENNEDY CT SW,11960,2025/01/03,-12651071.9526,7061710.569
Violent,Personal Violence,Assault,101 ST/105A AV,11961,2025/01/03,-12634063.1299,7085140.6575
Disorder,General Disorder,Trespassing,155 ST/STONY PLAIN RD,11962,2025/01/03,-12644618.2398,7083756.6379
